Gene,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
A2ML1,49.53155898,28.03670989,1.566836885,6.235109114,29.23960508,4.296063455,9.779644843,46.94675432,8.450838835,10.83633916,0.787483113,0.527546869,0.646888902,0.492668251,0.975424416,1.072831763,0.367719846,1.365747841,1.218614085,1.234490121
A2M,415.4345187,540.8684076,798.1594995,279.4648151,387.9506306,1137.718619,7037.756596,1329.391285,663.3051981,394.7665142,1881.401165,2255.179569,1269.196026,1681.81383,1627.608187,1223.19326,1496.080449,1825.982835,1575.733294,2408.407927
A4GALT,6.835258868,26.15856013,11.2236683,4.774491614,3.259549605,6.498552325,2.494993191,2.653326133,11.1202761,6.541448641,29.35974777,34.92915587,15.67235386,22.61087973,46.08880367,14.22739968,22.40639592,38.3731087,21.06461489,29.24369932
AAAS,26.90781484,25.28725354,27.56353866,37.74047154,23.5072937,13.66269195,28.06412049,46.31551947,29.59221099,20.18598545,36.50652848,30.0146403,26.71357126,29.53416515,40.68645305,28.81791166,31.40327481,27.07264672,41.08470342,32.09674315
AACS,30.83086834,40.99013456,16.53172795,24.56350291,131.4417392,52.25465352,13.09416134,44.12224585,71.30395267,68.48698502,52.98424117,68.16460864,63.54213263,66.58800361,108.6097571,36.44326972,45.18051169,45.70849629,110.5892282,38.29662687
AADAT,12.41899146,6.525118256,6.93884906,43.83423057,78.45398704,2.492926963,40.17485386,10.48491778,6.523704979,12.28999442,2.748761811,3.026453092,3.704909168,3.837626376,12.51169395,3.548597369,4.167491583,2.555270154,3.568798391,4.25213264
AAGAB,39.27867068,68.31043681,31.04895133,50.80750122,69.14098817,68.88223433,58.80535046,44.87116855,80.98244714,62.04464924,67.81269678,43.50873391,45.00288477,31.53076807,53.76089186,56.94260894,65.9689403,53.63864505,66.93673079,36.29400956
AAK1,40.02477288,41.86144115,22.0955977,40.30047856,98.13973983,73.83178349,44.34531693,19.99623606,31.63354537,63.36615401,45.25799176,64.22188993,48.04620302,81.2384016,41.32423056,56.39794051,65.82185236,55.4669849,32.20622938,55.60692168
AAMP,106.6685468,86.2012655,80.06856243,152.0926868,79.14443351,110.1486467,62.32019488,176.5959724,203.1199084,141.4670863,129.6821248,99.9284833,88.00629476,117.7995718,129.0749117,97.23156791,97.86250824,99.47931049,162.7502632,106.550214
AARS2,23.53832103,27.68818726,24.04614974,37.09654339,14.01766899,23.88853313,14.05937769,24.04041863,23.88218475,63.63045497,22.68842857,13.54962485,24.81701062,14.41702882,17.42633236,18.45270632,11.84057903,19.42886445,28.18045071,12.1254363
AARSD1,27.84645954,22.11182507,16.81951431,37.36353799,13.21482426,18.58803794,14.62393819,17.6531779,32.63279996,16.02324541,32.4205312,21.65718727,18.68626806,27.12268371,28.64371315,21.07701786,25.02946416,24.36317923,34.55641368,25.78712698
AARS,254.4208503,289.874022,144.7245661,215.9358066,508.1686005,300.4340038,145.2013191,216.3530688,325.100344,209.8549584,143.3665011,145.8528266,115.1756287,211.4583993,160.288493,111.7560595,141.6456845,140.9363659,152.696697,175.0232661
AASDHPPT,36.8959572,31.92854601,36.19712966,46.28429864,65.83326788,59.97546615,60.26228079,54.6927548,40.9979884,75.39184747,30.66726691,36.62285898,40.81280893,43.17329673,33.03312302,41.46082135,37.43388028,40.66404056,38.58219236,32.28877495
AASDH,9.675260791,6.292769831,21.29619113,8.700882744,19.89449242,16.57917446,8.668735466,14.05834895,17.50123042,12.45518251,14.73930657,13.46632798,26.03727832,14.59853818,12.77430822,19.54204318,15.22360161,21.9841346,16.538334,16.98109744
AASS,4.596952267,4.35653296,13.90967438,2.057428952,5.668083796,14.25566972,18.04772447,6.622616436,3.040588973,9.94432344,27.74020703,40.92653081,28.58072787,52.09318507,17.33254155,39.66176501,31.25618687,28.08594351,7.028791952,35.80021351
AATF,72.80513406,99.27086438,87.07136402,92.44295276,52.79506946,53.2227805,68.83995811,47.89895603,64.18069493,108.330354,53.29626279,51.75512444,35.96114216,46.82941376,51.90383384,39.54622928,43.41545644,43.90218463,58.62404185,54.94852695
AATK,0.601695323,2.594557407,5.659798542,2.528595888,0.41747926,6.680076133,1.365872185,2.910099629,2.712262464,1.222391918,4.294011694,1.804765606,5.660277895,1.218705674,2.175946775,2.013622693,2.966273421,2.026593571,6.484767807,1.618553714
ABAT,4.04339257,4.879316915,8.377780893,4.366146936,23.61969196,11.89586022,4.534695653,16.32651483,1.42750656,10.93545202,57.39711824,14.24376547,38.71042,12.91309416,30.89469257,25.78097251,37.85062944,40.02522302,54.98996057,12.09800319
ABCA10,0.264745942,0.174261318,0.767430311,1.790434355,0.449593049,0.08471111,0.63740702,0.064193374,0.085650394,0.330376194,7.681674898,17.29798419,9.953267883,19.05848234,12.17404704,16.27403258,13.11534116,28.46042275,2.959491348,13.16789463
ABCA11P,5.054240712,3.775661899,15.60441632,8.559532663,3.45223234,3.340038067,7.248228394,7.007776681,4.824972173,5.781583395,7.072489848,4.220374954,5.866106182,6.663986343,4.633265977,7.460307027,6.96216241,8.590994484,4.265149296,4.800794916
ABCA12,0.842373452,12.17892992,0.223833841,0.424050242,260.1216926,9.076190398,6.246588791,0.139085644,0.099925459,24.24961264,9.122917578,0.166593748,6.557101146,0.12964954,13.99358874,5.199107773,0.514807784,0.704902112,14.10110584,0.246898024
ABCA1,40.14511194,21.89883901,20.01714061,7.554376534,51.41417653,87.17983417,23.8208109,10.09975754,40.88378788,20.41724879,33.68347581,396.326527,52.05985462,281.7803097,85.48094355,78.99342794,164.7139762,66.32688305,14.36223743,182.2930412
